FID,statefp10,countyfp10,tractce10,blkgrpce10,geoid10,namelsad10,mtfcc10,funcstat10,aland10,awater10,intptlat10,intptlon10,hood,hood_no,acres,sqmiles,sectors,censusblockgroup,SHAPE_Length,SHAPE_Area
1,42,003,040500,1,420030405001,Block Group 1,G5030,S,268195,0,+40.4406805,-079.9542332,Central Oakland,20,180.883,0.281,14,0405001,7988.37939954851,2886581.92669156
2,42,003,040400,1,420030404001,Block Group 1,G5030,S,75472,0,+40.4458408,-079.9483932,North Oakland,56,320.679,0.499,14,0404001,3813.62090384679,790416.577850552
3,42,003,040200,2,420030402002,Block Group 2,G5030,S,282679,0,+40.4412437,-079.9626107,West Oakland,88,138.372,0.215,14,0402002,8260.91550192745,3042469.08152971
4,42,003,030500,2,420030305002,Block Group 2,G5030,S,284548,0,+40.4403871,-079.9813476,Crawford-Roberts,24,166.101,0.258,15,0305002,8670.42812840634,3054151.77491135
5,42,003,030500,1,420030305001,Block Group 1,G5030,S,383059,0,+40.4444763,-079.9855727,Crawford-Roberts,24,166.101,0.258,15,0305001,10723.0878164579,4149479.49838558
6,42,003,020300,1,420030203001,Block Group 1,G5030,S,1593129,329216,+40.4544996,-079.9812762,Strip District,80,390.864,0.608,13,0203001,24019.5326720514,16948752.7916303
7,42,003,020100,4,420030201004,Block Group 4,G5030,S,281715,0,+40.4406777,-079.9892121,Central Business District,17,411.593,0.64,16,0201004,7297.91965085873,3051342.99918013
8,42,003,262000,1,420032620001,Block Group 1,G5030,S,607576,0,+40.4632158,-079.9941680,Spring Hill-City View,75,404.765,0.63,1,2620001,12055.4261029821,6505642.89835058
9,42,003,261500,1,420032615001,Block Group 1,G5030,S,350522,0,+40.4733966,-080.0097343,Perry South,62,581.656,0.905,2,2615001,8208.50460448642,3772662.87572264
10,42,003,261400,2,420032614002,Block Group 2,G5030,S,353594,0,+40.4619992,-080.0134962,Perry South,62,581.656,0.905,2,2614002,8782.65701387325,3805693.32791207
11,42,003,261200,1,420032612001,Block Group 1,G5030,S,1057787,0,+40.4922173,-080.0081121,Summer Hill,81,282.104,0.439,1,2612001,20906.8294085694,12232534.0241909
12,42,003,260900,1,420032609001,Block Group 1,G5030,S,812036,0,+40.4776383,-080.0025945,Northview Heights,58,201.558,0.313,1,2609001,13757.3319460892,8727371.2159843
13,42,003,260700,2,420032607002,Block Group 2,G5030,S,301991,0,+40.4818975,-080.0108700,Perry North,61,779.088,1.212,2,2607002,11322.8373615932,3250297.04440707
14,42,003,563100,2,420035631002,Block Group 2,G5030,S,880129,0,+40.4320100,-080.0530374,Westwood,89,445.009,0.692,4,5631002,14820.1491882153,9487245.22205262
15,42,003,562400,5,420035624005,Block Group 5,G5030,S,138709,0,+40.4197360,-079.9991617,Beltzhoover,9,270.374,0.421,6,5624005,6015.55620725917,1492897.50591652
16,42,003,981000,1,420039810001,Block Group 1,G5030,S,1377043,0,+40.4730821,-079.9488759,Central Lawrenceville,18,619.199,0.963,13,9810001,20578.3752221394,14947687.3210142
17,42,003,170200,1,420031702001,Block Group 1,G5030,S,406640,81747,+40.4302576,-079.9922422,South Side Flats,72,601.553,0.936,7,1702001,12037.8996812967,4346606.28426652
18,42,003,170200,3,420031702003,Block Group 3,G5030,S,179690,0,+40.4272715,-079.9852076,South Side Flats,72,601.553,0.936,7,1702003,5657.62753394098,1949437.84667146
19,42,003,170200,2,420031702002,Block Group 2,G5030,S,342894,182267,+40.4313543,-079.9809658,South Side Flats,72,601.553,0.936,7,1702002,11206.9307608307,3750543.77588495
20,42,003,180300,3,420031803003,Block Group 3,G5030,S,140530,0,+40.4191918,-079.9927314,Allentown,3,189.608,0.295,6,1803003,6293.79185598449,1509648.44087812
21,42,003,170600,1,420031706001,Block Group 1,G5030,S,326725,0,+40.4249025,-079.9876098,South Side Slopes,73,460.632,0.716,7,1706001,14495.7929844301,3589320.73856811
22,42,003,170600,3,420031706003,Block Group 3,G5030,S,282738,0,+40.4196905,-079.9844551,South Side Slopes,73,460.632,0.716,7,1706003,9004.36176182732,3075878.71461443
23,42,003,020100,3,420030201003,Block Group 3,G5030,S,165318,0,+40.4413687,-079.9991048,Central Business District,17,411.593,0.64,16,0201003,6411.06704165727,1779326.21631674
24,42,003,020100,2,420030201002,Block Group 2,G5030,S,183660,82635,+40.4429700,-080.0038877,Central Business District,17,411.593,0.64,16,0201002,6925.1185328563,1916207.77630411
25,42,003,020100,1,420030201001,Block Group 1,G5030,S,434980,249322,+40.4396954,-080.0061775,Central Business District,17,411.593,0.64,16,0201001,11183.4781406648,4550609.87588673
26,42,003,010300,2,420030103002,Block Group 2,G5030,S,267511,0,+40.4369004,-079.9903987,Bluff,11,210.51,0.327,15,0103002,6834.80659406099,2906293.28060671
27,42,003,010300,1,420030103001,Block Group 1,G5030,S,289306,237261,+40.4340459,-079.9864670,Bluff,11,210.51,0.327,15,0103001,14452.3180456836,2943843.85409628
28,42,003,260700,1,420032607001,Block Group 1,G5030,S,369885,0,+40.4812801,-080.0088626,Perry North,61,779.088,1.212,2,2607001,14143.2604997273,3980049.31501212
29,42,003,260200,3,420032602003,Block Group 3,G5030,S,252788,7193,+40.4925080,-080.0177905,Perry North,61,779.088,1.212,2,2602003,8287.87814625273,2791710.97664597
30,42,003,260200,2,420032602002,Block Group 2,G5030,S,604995,0,+40.4903149,-080.0228477,Perry North,61,779.088,1.212,2,2602002,22388.779590008,6525321.58364576
31,42,003,260200,1,420032602001,Block Group 1,G5030,S,573112,0,+40.4916691,-080.0134039,Perry North,61,779.088,1.212,2,2602001,12165.6949646474,5268986.26625868
32,42,003,250900,2,420032509002,Block Group 2,G5030,S,384629,0,+40.4641570,-080.0039415,Fineview,33,160.488,0.25,3,2509002,13652.2147004583,4144740.47742818
33,42,003,562400,2,420035624002,Block Group 2,G5030,S,504789,0,+40.4142432,-080.0038814,Beltzhoover,9,270.374,0.421,6,5624002,14044.2233047645,5638041.76648797
34,42,003,562900,1,420035629001,Block Group 1,G5030,S,1385581,586785,+40.4096285,-079.9486102,Hazelwood,39,1017.805,1.583,9,5629001,29907.6115766504,14754644.0661672
35,42,003,980000,1,420039800001,Block Group 1,G5030,S,637235,237268,+40.4875790,-079.8907469,Lincoln-Lemington-Belmar,47,180.105,0.28,11,9800001,13581.8750892712,7764865.67096828
36,42,003,561900,2,420035619002,Block Group 2,G5030,S,652899,0,+40.4670321,-079.8924785,Lincoln-Lemington-Belmar,47,984.873,1.532,11,5619002,11692.2530688855,7025796.25362477
37,42,003,130600,1,420031306001,Block Group 1,G5030,S,365630,0,+40.4521925,-079.8817225,East Hills,28,348.077,0.541,11,1306001,8027.6340462229,3910097.25854074
38,42,003,040900,3,420030409003,Block Group 3,G5030,S,253498,0,+40.4308074,-079.9518013,South Oakland,70,326.793,0.508,14,0409003,7343.08231936842,2775017.1762112
39,42,003,562300,5,420035623005,Block Group 5,G5030,S,394540,0,+40.4142957,-079.9369121,Hazelwood,39,1017.805,1.583,9,5623005,11876.9048761522,4245319.59003871
40,42,003,562300,3,420035623003,Block Group 3,G5030,S,1036351,0,+40.4125804,-079.9314314,Hazelwood,39,1017.805,1.583,9,5623003,23111.7043358493,11247890.4928691
41,42,003,020100,5,420030201005,Block Group 5,G5030,S,401958,87646,+40.4381255,-079.9968423,Central Business District,17,411.593,0.64,16,0201005,11187.1062063972,4246199.53710704
42,42,003,170600,2,420031706002,Block Group 2,G5030,S,198244,0,+40.4235301,-079.9801503,South Side Slopes,73,460.632,0.716,7,1706002,11898.0548732086,2124504.97913221
43,42,003,180300,2,420031803002,Block Group 2,G5030,S,158899,0,+40.4209141,-079.9926876,Allentown,3,189.608,0.295,6,1803002,6405.13006549584,1667758.63572215
44,42,003,180300,1,420031803001,Block Group 1,G5030,S,474339,0,+40.4247669,-079.9943810,Allentown,3,189.608,0.295,6,1803001,13738.5188025272,5043639.02648648
45,42,003,180700,2,420031807002,Block Group 2,G5030,S,128061,0,+40.4247086,-080.0011285,Mount Washington,54,732.495,1.139,6,1807002,5547.08880377897,1378316.97171021
46,42,003,180700,3,420031807003,Block Group 3,G5030,S,136741,0,+40.4228314,-080.0010209,Mount Washington,54,732.495,1.139,6,1807003,5787.06921439082,1471754.76768782
47,42,003,180700,1,420031807001,Block Group 1,G5030,S,128087,0,+40.4265369,-080.0017531,Mount Washington,54,732.495,1.139,6,1807001,6037.51723689616,1398724.61329716
48,42,003,151700,4,420031517004,Block Group 4,G5030,S,157178,0,+40.4216327,-079.9353993,Greenfield,37,497.028,0.773,9,1517004,5794.40180718302,1700527.57418904
49,42,003,151700,3,420031517003,Block Group 3,G5030,S,163400,0,+40.4225131,-079.9385272,Greenfield,37,497.028,0.773,9,1517003,6459.11725276155,1758689.68828624
50,42,003,151700,2,420031517002,Block Group 2,G5030,S,291635,0,+40.4272650,-079.9345196,Greenfield,37,497.028,0.773,9,1517002,10596.7049943885,3138855.93079645
51,42,003,151700,1,420031517001,Block Group 1,G5030,S,216872,0,+40.4228431,-079.9277766,Greenfield,37,497.028,0.773,9,1517001,7618.25352093214,2349338.53289721
52,42,003,151600,3,420031516003,Block Group 3,G5030,S,132031,0,+40.4227661,-079.9448461,Greenfield,37,497.028,0.773,9,1516003,5523.9169756704,1421053.49742518
53,42,003,151600,1,420031516001,Block Group 1,G5030,S,253681,0,+40.4231223,-079.9414143,Greenfield,37,497.028,0.773,9,1516001,8854.40075808219,2730386.12526691
54,42,003,141400,3,420031414003,Block Group 3,G5030,S,294702,0,+40.4266034,-079.9185733,Squirrel Hill South,77,1717.485,2.671,10,1414003,8635.64213029586,3171881.9805262
55,42,003,141400,1,420031414001,Block Group 1,G5030,S,277404,0,+40.4214399,-079.9228257,Squirrel Hill South,77,1717.485,2.671,10,1414001,7865.02384043922,2985700.902856
56,42,003,141300,3,420031413003,Block Group 3,G5030,S,202656,0,+40.4320453,-079.9253363,Squirrel Hill South,77,1717.485,2.671,10,1413003,6066.42033494089,2181184.94946082
57,42,003,250300,1,420032503001,Block Group 1,G5030,S,243738,0,+40.4584905,-080.0120067,Central Northside,19,166.475,0.259,3,2503001,7703.4461902192,2623346.37892755
58,42,003,241200,2,420032412002,Block Group 2,G5030,S,172183,0,+40.4600565,-079.9915198,Spring Garden,74,176.506,0.275,1,2412002,7283.45506796289,1860014.32760756
59,42,003,240600,2,420032406002,Block Group 2,G5030,S,495750,0,+40.4611811,-079.9859947,Troy Hill,84,247.17,0.384,1,2406002,14534.3785217238,5161210.0345659
60,42,003,240600,1,420032406001,Block Group 1,G5030,S,729663,327616,+40.4619187,-079.9815275,Troy Hill,84,247.17,0.384,1,2406001,19089.1336072673,5541900.23426795
61,42,003,240600,1,420032406001,Block Group 1,G5030,S,729663,327616,+40.4619187,-079.9815275,Troy Hill,84,49.009,0.076,1,2406001,8998.47499108929,2125039.90805476
62,42,003,220600,2,420032206002,Block Group 2,G5030,S,166959,0,+40.4572412,-080.0051339,Central Northside,19,166.475,0.259,3,2206002,5717.33103540868,1796446.60685434
63,42,003,563200,3,420035632003,Block Group 3,G5030,S,315029,0,+40.4572599,-079.9976543,East Allegheny,26,151.705,0.236,3,5632003,11102.6286220573,3393753.01651847
64,42,003,010300,3,420030103003,Block Group 3,G5030,S,170588,0,+40.4368784,-079.9837347,Bluff,11,210.51,0.327,15,0103003,6132.57130348345,1836027.30474761
65,42,003,020100,6,420030201006,Block Group 6,G5030,S,211691,60090,+40.4454007,-079.9971407,Central Business District,17,411.593,0.64,16,0201006,7788.86032042327,2302223.78364317
66,42,003,981800,1,420039818001,Block Group 1,G5030,S,1652680,310067,+40.4790228,-079.8942288,Lincoln-Lemington-Belmar,47,984.873,1.532,11,9818001,24294.7266525536,17601350.5625932
67,42,003,562000,2,420035620002,Block Group 2,G5030,S,269504,0,+40.4552789,-079.9531593,North Oakland,56,320.679,0.499,14,5620002,9004.37303666004,2916639.92254291
68,42,003,151600,2,420031516002,Block Group 2,G5030,S,434793,0,+40.4267886,-079.9459951,Greenfield,37,497.028,0.773,9,1516002,12181.7963222673,4632623.72706654
69,42,003,160800,1,420031608001,Block Group 1,G5030,S,122567,0,+40.4229739,-079.9707670,South Side Slopes,73,460.632,0.716,7,1608001,5059.60693184713,1315510.33594128
70,42,003,101800,2,420031018002,Block Group 2,G5030,S,797007,0,+40.4847864,-079.9385823,Stanton Heights,79,472.615,0.735,13,1018002,22835.1086215697,8563160.3575744
71,42,003,060300,1,420030603001,Block Group 1,G5030,S,391220,0,+40.4621267,-079.9609234,Lower Lawrenceville,48,276.392,0.43,13,0603001,10355.0745576315,4184619.19952671
72,42,003,080200,2,420030802002,Block Group 2,G5030,S,92307,0,+40.4617308,-079.9522528,Bloomfield,10,451.405,0.702,12,0802002,4036.16383333134,993479.395776961
73,42,003,290400,3,420032904003,Block Group 3,G5030,S,275844,0,+40.3844190,-079.9867635,Carrick,16,1075.67,1.673,5,2904003,11617.5879562611,2967711.40222843
74,42,003,981100,1,420039811001,Block Group 1,G5030,S,876833,0,+40.4420424,-079.9063310,Point Breeze,63,645.695,1.004,10,9811001,14525.9016316362,9428733.79278495
75,42,003,190300,1,420031903001,Block Group 1,G5030,S,502688,0,+40.4348905,-080.0135312,Mount Washington,54,732.495,1.139,6,1903001,14878.8283225401,5406551.29973584
76,42,003,191100,2,420031911002,Block Group 2,G5030,S,884630,0,+40.4386014,-080.0260996,Duquesne Heights,25,400.468,0.623,6,1911002,13787.4250227088,9486072.84598656
77,42,003,191400,1,420031914001,Block Group 1,G5030,S,380257,0,+40.4292007,-080.0064823,Mount Washington,54,732.495,1.139,6,1914001,13251.9266744791,4092715.06624804
78,42,003,141300,2,420031413002,Block Group 2,G5030,S,303946,0,+40.4310496,-079.9300508,Squirrel Hill South,77,1717.485,2.671,10,1413002,12600.9872565298,3271367.26913085
79,42,003,141300,1,420031413001,Block Group 1,G5030,S,391431,0,+40.4360169,-079.9284488,Squirrel Hill South,77,1717.485,2.671,10,1413001,8749.89109589068,4212984.74706265
80,42,003,141100,1,420031411001,Block Group 1,G5030,S,1226338,163168,+40.4196414,-079.9075532,Swisshelm Park,82,308.575,0.48,10,1411001,20791.5446290687,13379173.9935487
81,42,003,110200,1,420031102001,Block Group 1,G5030,S,144791,0,+40.4780209,-079.9195862,Highland Park,40,747.691,1.163,12,1102001,5475.12806164691,1558404.41027147
82,42,003,101800,1,420031018001,Block Group 1,G5030,S,400083,0,+40.4829410,-079.9336446,Stanton Heights,79,472.615,0.735,13,1018001,13149.2375254977,4306754.36960949
83,42,003,101700,2,420031017002,Block Group 2,G5030,S,217979,0,+40.4672423,-079.9433700,Garfield,35,294.077,0.457,12,1017002,6586.68365867042,2346099.02373083
84,42,003,101700,1,420031017001,Block Group 1,G5030,S,174519,0,+40.4664252,-079.9381924,Garfield,35,294.077,0.457,12,1017001,5489.80469867194,1878345.82694606
85,42,003,220600,1,420032206001,Block Group 1,G5030,S,261918,0,+40.4553043,-080.0138114,Central Northside,19,166.475,0.259,3,2206001,8437.54933055815,2799767.41635677
86,42,003,210700,2,420032107002,Block Group 2,G5030,S,359658,0,+40.4578695,-080.0264589,Manchester,49,179.566,0.279,3,2107002,9100.22785034759,3874642.90174937
87,42,003,210700,1,420032107001,Block Group 1,G5030,S,363433,0,+40.4531478,-080.0236514,Manchester,49,179.566,0.279,3,2107001,8096.64315547563,3911603.87077224
88,42,003,980100,1,420039801001,Block Group 1,G5030,S,1440881,252755,+40.4798795,-079.9165548,Highland Park,40,747.691,1.163,12,9801001,26209.2530551973,16896019.4668022
89,42,003,010300,4,420030103004,Block Group 4,G5030,S,133877,0,+40.4373257,-079.9772756,Bluff,11,210.51,0.327,15,0103004,6053.81749818582,1440927.00834535
90,42,003,101100,3,420031011003,Block Group 3,G5030,S,249635,0,+40.4818107,-079.9477736,Upper Lawrenceville,86,260.349,0.405,13,1011003,10342.0179349027,2701834.11655854
91,42,003,140600,3,420031406003,Block Group 3,G5030,S,184852,0,+40.4430458,-079.8953704,Point Breeze,63,645.695,1.004,10,1406003,6747.65628019595,2018678.65368731
92,42,003,141400,4,420031414004,Block Group 4,G5030,S,1162800,88690,+40.4187318,-079.9174166,Squirrel Hill South,77,1717.485,2.671,10,1414004,25029.5670891817,12179194.5165976
93,42,003,191600,3,420031916003,Block Group 3,G5030,S,170636,0,+40.4126628,-080.0211465,Beechview,8,938.804,1.46,5,1916003,8417.8756080597,1836578.27333403
94,42,003,191600,5,420031916005,Block Group 5,G5030,S,424442,0,+40.4122360,-080.0279710,Beechview,8,938.804,1.46,5,1916005,10061.586743192,4568307.48645667
95,42,003,191600,2,420031916002,Block Group 2,G5030,S,494407,0,+40.4138322,-080.0172481,Beechview,8,938.804,1.46,5,1916002,11976.878401701,5352157.6156305
96,42,003,191600,4,420031916004,Block Group 4,G5030,S,169148,0,+40.4137886,-080.0244240,Beechview,8,938.804,1.46,5,1916004,6283.14726711949,1820543.97027412
97,42,003,191700,1,420031917001,Block Group 1,G5030,S,1471688,0,+40.4043578,-080.0109294,Brookline,14,1338.669,2.082,5,1917001,24549.4303048888,15829093.1909854
98,42,003,101600,1,420031016001,Block Group 1,G5030,S,464605,0,+40.4703739,-079.9393307,Garfield,35,294.077,0.457,12,1016001,11149.6964051935,5000519.34160077
99,42,003,101400,4,420031014004,Block Group 4,G5030,S,149377,0,+40.4799173,-079.9300799,Morningside,52,245.637,0.382,12,1014004,6038.17834122,1607767.94768407
100,42,003,101400,3,420031014003,Block Group 3,G5030,S,129999,0,+40.4750332,-079.9299711,Morningside,52,245.637,0.382,12,1014003,4949.9649370273,1398501.35630154
101,42,003,101400,1,420031014001,Block Group 1,G5030,S,570200,302845,+40.4870341,-079.9263153,Morningside,52,245.637,0.382,12,1014001,23814.5014589375,6397673.11031997
102,42,003,101100,2,420031011002,Block Group 2,G5030,S,641783,305758,+40.4849516,-079.9518640,Upper Lawrenceville,86,260.349,0.405,13,1011002,16672.0625530625,6882673.97552135
103,42,003,101100,1,420031011001,Block Group 1,G5030,S,158459,0,+40.4796387,-079.9516903,Upper Lawrenceville,86,260.349,0.405,13,1011001,5615.25838266754,1705525.52688482
104,42,003,100500,2,420031005002,Block Group 2,G5030,S,382760,0,+40.4781242,-079.9393683,Stanton Heights,79,472.615,0.735,13,1005002,10790.5914817542,3993047.06003269
105,42,003,090100,2,420030901002,Block Group 2,G5030,S,305316,115879,+40.4747088,-079.9639616,Central Lawrenceville,18,619.199,0.963,13,0901002,8997.68308835316,3227614.00000426
106,42,003,090200,3,420030902003,Block Group 3,G5030,S,72097,0,+40.4664653,-079.9570743,Central Lawrenceville,18,619.199,0.963,13,0902003,3809.98452631072,775971.011912175
107,42,003,101400,2,420031014002,Block Group 2,G5030,S,115857,0,+40.4844952,-079.9284287,Morningside,52,245.637,0.382,12,1014002,4677.75431155001,1246977.1583178
108,42,003,110600,2,420031106002,Block Group 2,G5030,S,227776,0,+40.4752841,-079.9162654,Highland Park,40,747.691,1.163,12,1106002,7011.10817654252,2451539.35754646
109,42,003,120400,1,420031204001,Block Group 1,G5030,S,176103,0,+40.4633748,-079.9087841,Larimer,45,286.16,0.445,12,1204001,5462.85310002879,1895397.46660865
110,42,003,562900,3,420035629003,Block Group 3,G5030,S,803514,0,+40.4176307,-079.9441160,Hazelwood,39,1017.805,1.583,9,5629003,17227.8721792824,8640481.6547329
111,42,003,562300,6,420035623006,Block Group 6,G5030,S,123591,0,+40.4097577,-079.9425942,Hazelwood,39,1017.805,1.583,9,5623006,6148.07634997959,1330221.93728573
112,42,003,562300,4,420035623004,Block Group 4,G5030,S,146181,0,+40.4063841,-079.9419511,Hazelwood,39,1017.805,1.583,9,5623004,5880.75613155206,1573340.18008618
113,42,003,982200,1,420039822001,Block Group 1,G5030,S,505672,0,+40.4444879,-079.9547652,North Oakland,56,320.679,0.499,14,9822001,16401.4864935488,5466005.88190734
114,42,003,563200,1,420035632001,Block Group 1,G5030,S,316619,138447,+40.4496580,-079.9981098,North Shore,57,195.014,0.303,16,5632001,9418.51610768911,3378905.57276785
115,42,003,562400,1,420035624001,Block Group 1,G5030,S,818084,0,+40.4077250,-080.0012233,Bon Air,12,201.53,0.313,6,5624001,15887.0064633169,8751989.70290834
116,42,003,191800,3,420031918003,Block Group 3,G5030,S,190085,0,+40.3895301,-080.0171435,Brookline,14,1338.669,2.082,5,1918003,7528.75708265693,2043859.80361775
117,42,003,202300,4,420032023004,Block Group 4,G5030,S,835320,0,+40.4127817,-080.0357088,Banksville,6,622.919,0.969,5,2023004,11460.1491262537,8990549.31054091
118,42,003,563000,2,420035630002,Block Group 2,G5030,S,574770,0,+40.4597668,-080.0778300,Windgap,90,266.678,0.415,4,5630002,10840.3732096,6079840.75088246
119,42,003,191700,3,420031917003,Block Group 3,G5030,S,243293,0,+40.4029550,-080.0186572,Brookline,14,1338.669,2.082,5,1917003,7565.28038003984,2618546.74756164
