FID,statefp10,countyfp10,tractce10,blkgrpce10,geoid10,namelsad10,mtfcc10,funcstat10,aland10,awater10,intptlat10,intptlon10,hood,hood_no,acres,sqmiles,sectors,censusblockgroup,SHAPE_Length,SHAPE_Area
241,42,003,140200,2,420031402002,Block Group 2,G5030,S,336251,0,+40.4470935,-079.9297264,Squirrel Hill North,76,785.948,1.222,10,1402002,8817.33213794688,3619081.90148234
242,42,003,140200,1,420031402001,Block Group 1,G5030,S,423236,0,+40.4483633,-079.9235981,Squirrel Hill North,76,785.948,1.222,10,1402001,9667.71132064238,4555286.36744241
243,42,003,140100,4,420031401004,Block Group 4,G5030,S,191468,0,+40.4461764,-079.9428625,Squirrel Hill North,76,785.948,1.222,10,1401004,7682.26056667374,2071588.30850576
244,42,003,140100,2,420031401002,Block Group 2,G5030,S,545736,0,+40.4403036,-079.9337536,Squirrel Hill North,76,785.948,1.222,10,1401002,12861.8785652753,5873747.36101845
245,42,003,140100,1,420031401001,Block Group 1,G5030,S,437062,0,+40.4442956,-079.9352599,Squirrel Hill North,76,785.948,1.222,10,1401001,8933.83843608551,4704113.89774361
246,42,003,271500,3,420032715003,Block Group 3,G5030,S,388703,0,+40.4716738,-080.0340754,Marshall-Shadeland,50,657.903,1.023,2,2715003,12078.7057432263,4181894.92205959
247,42,003,271500,2,420032715002,Block Group 2,G5030,S,346313,0,+40.4706226,-080.0297333,Marshall-Shadeland,50,657.903,1.023,2,2715002,12507.1996396012,3727387.0215652
248,42,003,562600,4,420035626004,Block Group 4,G5030,S,260149,0,+40.4440663,-080.0364074,Elliott,30,389.87,0.606,4,5626004,8279.6673893085,2799973.10798804
249,42,003,562500,4,420035625004,Block Group 4,G5030,S,601811,0,+40.4580575,-080.0582931,Sheraden,69,572.125,0.89,4,5625004,16145.2457682449,6459918.50127953
250,42,003,563200,2,420035632002,Block Group 2,G5030,S,294331,0,+40.4535118,-079.9979360,East Allegheny,26,151.705,0.236,3,5632002,8103.79288283856,3186594.7242561
251,42,003,250900,1,420032509001,Block Group 1,G5030,S,258934,0,+40.4608171,-080.0047738,Fineview,33,160.488,0.25,3,2509001,9568.03940792364,2817658.11312274
252,42,003,261400,4,420032614004,Block Group 4,G5030,S,329769,0,+40.4683526,-080.0064339,Perry South,62,581.656,0.905,2,2614004,9350.35588142417,3549298.75660892
253,42,003,561900,1,420035619001,Block Group 1,G5030,S,597381,0,+40.4742770,-079.8949114,Lincoln-Lemington-Belmar,47,984.873,1.532,11,5619001,14971.655355248,6438841.12852702
254,42,003,141400,2,420031414002,Block Group 2,G5030,S,173646,0,+40.4243851,-079.9207306,Squirrel Hill South,77,1717.485,2.671,10,1414002,8259.02151013284,1868945.71794046
255,42,003,151700,6,420031517006,Block Group 6,G5030,S,200375,0,+40.4254083,-079.9318638,Greenfield,37,497.028,0.773,9,1517006,5916.24151185407,2156641.97539521
256,42,003,192000,2,420031920002,Block Group 2,G5030,S,246368,0,+40.4016212,-080.0253551,Beechview,8,938.804,1.46,5,1920002,8057.92562252536,2651662.25020389
257,42,003,261400,3,420032614003,Block Group 3,G5030,S,222271,0,+40.4679547,-080.0114593,Perry South,62,581.656,0.905,2,2614003,7420.30119364983,2392297.64530001
258,42,003,192000,4,420031920004,Block Group 4,G5030,S,217052,0,+40.4008905,-080.0296710,Beechview,8,938.804,1.46,5,1920004,7152.3598190796,2332707.84608424
259,42,003,192000,3,420031920003,Block Group 3,G5030,S,451676,0,+40.4053264,-080.0313269,Beechview,8,938.804,1.46,5,1920003,12755.3845482866,4861520.4785707
260,42,003,192000,5,420031920005,Block Group 5,G5030,S,163611,0,+40.4084166,-080.0236010,Beechview,8,938.804,1.46,5,1920005,7074.15001608792,1760954.56176075
261,42,003,320400,1,420033204001,Block Group 1,G5030,S,487452,0,+40.3813312,-079.9903213,Overbrook,60,539.515,0.839,5,3204001,10181.8194843832,5175362.94834156
262,42,003,320400,2,420033204002,Block Group 2,G5030,S,169910,0,+40.3870132,-079.9933948,Overbrook,60,539.515,0.839,5,3204002,7263.3427433886,1870826.00754622
263,42,003,320600,1,420033206001,Block Group 1,G5030,S,656883,0,+40.3971295,-080.0068447,Brookline,14,1338.669,2.082,5,3206001,15315.6636608512,7070052.64414894
264,42,003,320700,1,420033207001,Block Group 1,G5030,S,730543,0,+40.3857238,-080.0009505,Overbrook,60,539.515,0.839,5,3207001,16000.1955408908,7942354.84607224
265,42,003,320700,2,420033207002,Block Group 2,G5030,S,584829,0,+40.3783503,-079.9993597,Overbrook,60,539.515,0.839,5,3207002,12351.9608236174,6254882.14119243
266,42,003,130600,3,420031306003,Block Group 3,G5030,S,702176,0,+40.4531812,-079.8715481,East Hills,28,348.077,0.541,11,1306003,10890.7937701416,7425258.29192684
267,42,003,130600,2,420031306002,Block Group 2,G5030,S,336046,0,+40.4571221,-079.8760661,East Hills,28,348.077,0.541,11,1306002,13932.2819797984,3743996.02800372
268,42,003,130400,3,420031304003,Block Group 3,G5030,S,115917,0,+40.4496890,-079.8859784,Homewood South,42,256.093,0.398,11,1304003,6090.014142178,1240584.88567066
269,42,003,130400,2,420031304002,Block Group 2,G5030,S,193262,0,+40.4508292,-079.8891462,Homewood South,42,256.093,0.398,11,1304002,6281.32669052516,2031002.25900683
270,42,003,130300,3,420031303003,Block Group 3,G5030,S,232737,0,+40.4556706,-079.8998750,Homewood South,42,256.093,0.398,11,1303003,7579.01300196494,2504957.03977817
271,42,003,130300,2,420031303002,Block Group 2,G5030,S,168926,0,+40.4526261,-079.8948056,Homewood South,42,256.093,0.398,11,1303002,5662.90432829994,1808371.73674193
272,42,003,130300,1,420031303001,Block Group 1,G5030,S,144645,0,+40.4552880,-079.8943066,Homewood South,42,256.093,0.398,11,1303001,5818.76798426391,1556821.40749469
273,42,003,130200,2,420031302002,Block Group 2,G5030,S,186305,0,+40.4594767,-079.8955903,Homewood North,41,279.14,0.434,11,1302002,5810.23622425799,2005195.9019167
274,42,003,270800,2,420032708002,Block Group 2,G5030,S,316228,0,+40.4811678,-080.0308312,Brighton Heights,13,718.262,1.117,2,2708002,12465.8386032291,3403563.19026424
275,42,003,270800,1,420032708001,Block Group 1,G5030,S,320821,0,+40.4883995,-080.0376363,Brighton Heights,13,718.262,1.117,2,2708001,8626.84527629778,3417798.47705241
276,42,003,270300,2,420032703002,Block Group 2,G5030,S,217586,0,+40.4768739,-080.0397868,Brighton Heights,13,718.262,1.117,2,2703002,8115.9629280272,2279297.10019308
277,42,003,270300,1,420032703001,Block Group 1,G5030,S,386787,0,+40.4783520,-080.0351779,Brighton Heights,13,718.262,1.117,2,2703001,9595.17102211275,4162978.61187332
278,42,003,980400,1,420039804001,Block Group 1,G5030,S,1106408,0,+40.4819387,-080.0200201,Perry North,61,779.088,1.212,2,9804001,23753.9614892895,11915689.868689
279,42,003,192000,1,420031920001,Block Group 1,G5030,S,284141,0,+40.4058572,-080.0217045,Beechview,8,938.804,1.46,5,1920001,8581.14272218218,3058227.75408336
280,42,003,481000,2,420034810002,Block Group 2,G5030,S,211451,0,+40.4120501,-079.9841274,Mount Oliver Borough,0,218.225,0.339,0,4810002,8438.62973561483,2278765.65211485
281,42,003,320600,2,420033206002,Block Group 2,G5030,S,818600,0,+40.3926792,-080.0036674,Brookline,14,1338.669,2.082,5,3206002,13020.8487020059,8681930.807506
282,42,003,130200,1,420031302001,Block Group 1,G5030,S,162183,0,+40.4577941,-079.8910865,Homewood North,41,279.14,0.434,11,1302001,6127.31347320186,1745556.19568385
283,42,003,130100,3,420031301003,Block Group 3,G5030,S,156450,0,+40.4613144,-079.8987905,Homewood North,41,279.14,0.434,11,1301003,7048.43162318618,1683877.10748332
284,42,003,130100,2,420031301002,Block Group 2,G5030,S,169075,0,+40.4610815,-079.8921492,Homewood North,41,279.14,0.434,11,1301002,8188.70222881853,1825458.79424414
285,42,003,130100,1,420031301001,Block Group 1,G5030,S,446625,0,+40.4578346,-079.8838395,Homewood North,41,279.14,0.434,11,1301001,9078.29907240676,4844464.80398554
286,42,003,120800,2,420031208002,Block Group 2,G5030,S,533380,0,+40.4589802,-079.9121415,Larimer,45,286.16,0.445,12,1208002,12096.996120232,5740778.48500171
287,42,003,120800,1,420031208001,Block Group 1,G5030,S,182742,0,+40.4644642,-079.9160491,Larimer,45,286.16,0.445,12,1208001,6062.46736518184,1966846.97349156
288,42,003,120700,2,420031207002,Block Group 2,G5030,S,200053,0,+40.4569713,-079.9050701,Homewood West,43,127.819,0.199,11,1207002,6871.68825424433,2156899.76404898
289,42,003,040400,2,420030404002,Block Group 2,G5030,S,123990,0,+40.4482650,-079.9499687,North Oakland,56,320.679,0.499,14,0404002,4646.0547395415,1315072.78336506
290,42,003,980300,1,420039803001,Block Group 1,G5030,S,1294099,0,+40.4325504,-079.9057230,Squirrel Hill South,77,1717.485,2.671,10,9803001,18179.2433944957,14040502.1361704
291,42,003,141400,5,420031414005,Block Group 5,G5030,S,140754,0,+40.4275500,-079.9245784,Squirrel Hill South,77,1717.485,2.671,10,1414005,5361.80488177722,1514925.45928635
292,42,003,261400,1,420032614001,Block Group 1,G5030,S,306415,0,+40.4653223,-080.0168974,Perry South,62,581.656,0.905,2,2614001,7859.77874636915,3297931.78223085
293,42,003,562800,2,420035628002,Block Group 2,G5030,S,653726,0,+40.4269246,-080.0658036,Oakwood,59,162.015,0.252,4,5628002,15834.2766989772,6988112.76959611
294,42,003,481000,3,420034810003,Block Group 3,G5030,S,195227,0,+40.4100338,-079.9884063,Mount Oliver Borough,0,218.225,0.339,0,4810003,7136.43464389203,2087573.46584935
295,42,003,481000,1,420034810001,Block Group 1,G5030,S,212675,0,+40.4158850,-079.9851540,Mount Oliver Borough,0,218.225,0.339,0,4810001,6550.10727903225,2289654.75704598
296,42,003,481000,4,420034810004,Block Group 4,G5030,S,260030,0,+40.4077982,-079.9851751,Mount Oliver Borough,0,218.225,0.339,0,4810004,9112.32749309155,2800839.41919387
297,42,003,120700,1,420031207001,Block Group 1,G5030,S,315075,0,+40.4609938,-079.9032351,Homewood West,43,127.819,0.199,11,1207001,7715.61555983723,3391159.54520613
298,42,003,120400,2,420031204002,Block Group 2,G5030,S,260666,0,+40.4666609,-079.9115639,Larimer,45,286.16,0.445,12,1204002,7260.41610708477,2805522.29567311
299,42,003,120300,2,420031203002,Block Group 2,G5030,S,303104,0,+40.4667430,-079.9005376,Lincoln-Lemington-Belmar,47,984.873,1.532,11,1203002,7903.27770346444,3262283.93637861
300,42,003,120300,1,420031203001,Block Group 1,G5030,S,777383,0,+40.4704322,-079.9038473,Lincoln-Lemington-Belmar,47,984.873,1.532,11,1203001,15092.0998658758,8366940.66330124
301,42,003,111500,4,420031115004,Block Group 4,G5030,S,273819,0,+40.4612717,-079.9187769,East Liberty,29,373.65,0.581,12,1115004,7027.65865969102,2987473.7592663
302,42,003,111500,3,420031115003,Block Group 3,G5030,S,243983,0,+40.4616936,-079.9256118,East Liberty,29,373.65,0.581,12,1115003,6747.63690336104,2625957.48153127
303,42,003,111500,2,420031115002,Block Group 2,G5030,S,245692,0,+40.4613527,-079.9302786,East Liberty,29,373.65,0.581,12,1115002,8046.53732610962,2644397.7881134
304,42,003,111500,1,420031115001,Block Group 1,G5030,S,196485,0,+40.4652668,-079.9246302,East Liberty,29,373.65,0.581,12,1115001,6700.19778050613,2114776.73025219
305,42,003,562800,1,420035628001,Block Group 1,G5030,S,1122222,0,+40.4202222,-080.0745718,East Carnegie,27,277.895,0.432,4,5628001,18432.5429984324,11970734.4989621
306,42,003,310300,1,420033103001,Block Group 1,G5030,S,2048522,0,+40.3879201,-079.9225537,New Homestead,55,510.728,0.794,8,3103001,22945.9372757571,22145349.2805215
307,42,003,111400,2,420031114002,Block Group 2,G5030,S,172205,0,+40.4669071,-079.9332758,Garfield,35,294.077,0.457,12,1114002,6368.44638142915,1853443.15818706
308,42,003,111400,1,420031114001,Block Group 1,G5030,S,155417,0,+40.4671249,-079.9302535,Garfield,35,294.077,0.457,12,1114001,6498.28001986882,1672753.71793201
309,42,003,111300,4,420031113004,Block Group 4,G5030,S,161217,0,+40.4674207,-079.9196807,East Liberty,29,373.65,0.581,12,1113004,5498.12595140572,1735192.61500228
310,42,003,111300,3,420031113003,Block Group 3,G5030,S,90448,0,+40.4680245,-079.9256027,East Liberty,29,373.65,0.581,12,1113003,4049.05648325464,973510.066546122
311,42,003,111300,2,420031113002,Block Group 2,G5030,S,130582,0,+40.4691148,-079.9238106,East Liberty,29,373.65,0.581,12,1113002,6217.78207929268,1405443.1117781
312,42,003,111300,1,420031113001,Block Group 1,G5030,S,155134,0,+40.4710476,-079.9294133,East Liberty,29,373.65,0.581,12,1113001,5782.64660729334,1715327.99529624
313,42,003,110600,3,420031106003,Block Group 3,G5030,S,135853,0,+40.4707047,-079.9181968,Highland Park,40,747.691,1.163,12,1106003,4864.27826599262,1462184.54506893
314,42,003,110600,1,420031106001,Block Group 1,G5030,S,271548,0,+40.4715544,-079.9137441,Highland Park,40,747.691,1.163,12,1106001,8306.26412034177,2922668.62470084
315,42,003,110200,4,420031102004,Block Group 4,G5030,S,226789,0,+40.4725674,-079.9227477,Highland Park,40,747.691,1.163,12,1102004,6264.71997655518,2440913.47548178
316,42,003,110200,3,420031102003,Block Group 3,G5030,S,298196,0,+40.4765111,-079.9261174,Highland Park,40,747.691,1.163,12,1102003,8354.64568258306,3124957.45599089
317,42,003,110200,2,420031102002,Block Group 2,G5030,S,145230,0,+40.4757786,-079.9213093,Highland Park,40,747.691,1.163,12,1102002,5198.61945218224,1563126.8503663
318,42,003,050600,3,420030506003,Block Group 3,G5030,S,287852,0,+40.4507230,-079.9591365,Upper Hill,85,201.167,0.313,15,0506003,9240.99505871066,3088353.60239869
319,42,003,050600,2,420030506002,Block Group 2,G5030,S,126131,0,+40.4521207,-079.9616517,Upper Hill,85,201.167,0.313,15,0506002,5514.11278348433,1357554.04389753
320,42,003,980500,1,420039805001,Block Group 1,G5030,S,1603807,8799,+40.4327243,-079.9436647,Squirrel Hill South,77,1717.485,2.671,10,9805001,19427.1110406003,17324024.9127778
321,42,003,160800,3,420031608003,Block Group 3,G5030,S,252786,0,+40.4192564,-079.9687826,South Side Slopes,73,460.632,0.716,7,1608003,8740.01308780405,2720745.45436866
322,42,003,160800,4,420031608004,Block Group 4,G5030,S,443571,0,+40.4207815,-079.9759391,South Side Slopes,73,460.632,0.716,7,1608004,11348.6164962354,4771361.13521642
323,42,003,160900,2,420031609002,Block Group 2,G5030,S,838891,282865,+40.4217339,-079.9608102,South Side Flats,72,601.553,0.936,7,1609002,22376.5446404461,9340778.11950675
324,42,003,050600,1,420030506001,Block Group 1,G5030,S,392337,6854,+40.4553953,-079.9580440,Upper Hill,85,201.167,0.313,15,0506001,10414.1829421801,4275455.555943
325,42,003,050100,3,420030501003,Block Group 3,G5030,S,308316,0,+40.4459724,-079.9776953,Middle Hill,51,196.108,0.305,15,0501003,7994.23110605205,3315350.8788266
326,42,003,050100,2,420030501002,Block Group 2,G5030,S,239938,0,+40.4474812,-079.9721392,Middle Hill,51,196.108,0.305,15,0501002,7472.78941009233,2582454.76284278
327,42,003,050100,1,420030501001,Block Group 1,G5030,S,242120,0,+40.4501583,-079.9675165,Middle Hill,51,196.108,0.305,15,0501001,6906.17588015644,2605922.84292887
328,42,003,040900,2,420030409002,Block Group 2,G5030,S,230361,0,+40.4318337,-079.9556760,South Oakland,70,326.793,0.508,14,0409002,6779.15530947054,2479356.9606591
329,42,003,040900,1,420030409001,Block Group 1,G5030,S,437084,0,+40.4355157,-079.9628404,South Oakland,70,326.793,0.508,14,0409001,13853.1294393209,4701548.28841019
330,42,003,040600,1,420030406001,Block Group 1,G5030,S,253063,0,+40.4367501,-079.9522852,Central Oakland,20,180.883,0.281,14,0406001,8033.65328891196,2763504.64585571
331,42,003,040500,2,420030405002,Block Group 2,G5030,S,203744,0,+40.4382299,-079.9582159,Central Oakland,20,180.883,0.281,14,0405002,6208.19474492243,2192910.06925736
332,42,003,270100,2,420032701002,Block Group 2,G5030,S,604710,131921,+40.4824127,-080.0461620,Brighton Heights,13,718.262,1.117,2,2701002,10569.7475820298,6386753.03836981
333,42,003,270100,1,420032701001,Block Group 1,G5030,S,435462,0,+40.4845890,-080.0396191,Brighton Heights,13,718.262,1.117,2,2701001,10771.7143518605,4686800.23134202
334,42,003,262000,2,420032620002,Block Group 2,G5030,S,183095,0,+40.4677565,-079.9927122,Spring Hill-City View,75,404.765,0.63,1,2620002,6403.95668202219,1970658.94710029
335,42,003,562500,1,420035625001,Block Group 1,G5030,S,602805,225010,+40.4627464,-080.0508428,Esplen,31,147.829,0.23,4,5625001,25245.4895497114,6382227.46234958
336,42,003,563000,1,420035630001,Block Group 1,G5030,S,2520263,0,+40.4507815,-080.0847808,Fairywood,32,622.746,0.969,4,5630001,26392.7256029848,26923859.6799159
337,42,003,563000,3,420035630003,Block Group 3,G5030,S,503951,0,+40.4521612,-080.0721842,Windgap,90,266.678,0.415,4,5630003,14195.1025486009,5439182.2210533
338,42,003,563000,4,420035630004,Block Group 4,G5030,S,342793,0,+40.4578183,-080.0705756,Chartiers City,21,84.954,0.132,4,5630004,9978.22599872489,3683819.82603217
339,42,003,202200,1,420032022001,Block Group 1,G5030,S,551500,0,+40.4524892,-080.0636128,Sheraden,69,572.125,0.89,4,2022001,13387.0397212558,5948857.76130382
340,42,003,281400,2,420032814002,Block Group 2,G5030,S,980865,0,+40.4462505,-080.0501942,Crafton Heights,23,484.575,0.754,4,2814002,14959.5997292978,10549328.7390792
341,42,003,562600,3,420035626003,Block Group 3,G5030,S,750054,187348,+40.4498113,-080.0385039,Elliott,30,389.87,0.606,4,5626003,16539.0895626628,7873196.55280275
342,42,003,190300,2,420031903002,Block Group 2,G5030,S,333636,0,+40.4300763,-080.0162029,Mount Washington,54,732.495,1.139,6,1903002,9560.00878309966,3465735.30259231
343,42,003,191400,2,420031914002,Block Group 2,G5030,S,565029,0,+40.4260262,-080.0142054,Mount Washington,54,732.495,1.139,6,1914002,11401.6903309208,6055718.87461223
344,42,003,191100,1,420031911001,Block Group 1,G5030,S,719798,0,+40.4314455,-080.0231165,Duquesne Heights,25,400.468,0.623,6,1911001,12763.9639424141,7875745.0565671
345,42,003,191600,1,420031916001,Block Group 1,G5030,S,1170145,0,+40.4219916,-080.0243427,Beechview,8,938.804,1.46,5,1916001,16523.5095540854,12461415.2055382
346,42,003,563100,3,420035631003,Block Group 3,G5030,S,928505,0,+40.4270691,-080.0344802,Ridgemont,67,237.059,0.369,4,5631003,16308.7798807024,10246616.4552015
347,42,003,562600,1,420035626001,Block Group 1,G5030,S,512433,0,+40.4408830,-080.0357065,West End,87,128.679,0.2,4,5626001,18778.9915131148,5579476.0188691
348,42,003,271500,1,420032715001,Block Group 1,G5030,S,632832,0,+40.4752131,-080.0240304,Marshall-Shadeland,50,657.903,1.023,2,2715001,17890.9901778515,7134381.12291378
349,42,003,980900,1,420039809001,Block Group 1,G5030,S,1453388,854869,+40.4659231,-080.0458881,Marshall-Shadeland,50,657.903,1.023,2,9809001,16591.7893344222,9222634.41584115
350,42,003,250700,1,420032507001,Block Group 1,G5030,S,560320,0,+40.4599421,-080.0218657,California-Kirkbride,15,139.552,0.217,3,2507001,11709.5187635868,6050816.65342363
351,42,003,270400,1,420032704001,Block Group 1,G5030,S,395541,0,+40.4654064,-080.0285012,Marshall-Shadeland,50,657.903,1.023,2,2704001,9062.21249882653,4256393.32452942
352,42,003,241200,1,420032412001,Block Group 1,G5030,S,510109,0,+40.4714234,-079.9884347,Spring Garden,74,176.506,0.275,1,2412001,16698.1740748075,5796033.07925296
353,42,003,262000,3,420032620003,Block Group 3,G5030,S,855799,0,+40.4698731,-079.9965083,Spring Hill-City View,75,404.765,0.63,1,2620003,19457.0767986199,9067098.55630216
354,42,003,191500,1,420031915001,Block Group 1,G5030,S,534104,0,+40.4186500,-080.0109810,Mount Washington,54,732.495,1.139,6,1915001,18688.7581772732,5535191.31040619
355,42,003,562300,2,420035623002,Block Group 2,G5030,S,1197940,275741,+40.4050484,-079.9308344,Glen Hazel,36,293.197,0.456,9,5623002,18931.4943314746,12712949.4445801
356,42,003,563100,1,420035631001,Block Group 1,G5030,S,908984,0,+40.4338079,-080.0441065,Westwood,89,445.009,0.692,4,5631001,13434.3847333024,9754003.84116116
357,42,003,980800,1,420039808001,Block Group 1,G5030,S,400091,163596,+40.4341374,-079.9683957,South Oakland,70,326.793,0.508,14,9808001,15681.9130265032,4213612.0044156
358,42,003,160900,1,420031609001,Block Group 1,G5030,S,411944,158932,+40.4299127,-079.9697164,South Side Flats,72,601.553,0.936,7,1609001,10543.4371497917,4695786.26053455
359,42,003,100500,1,420031005001,Block Group 1,G5030,S,341506,0,+40.4760158,-079.9343044,Stanton Heights,79,472.615,0.735,13,1005001,10179.9246352225,3630027.8057173
360,42,003,130400,1,420031304001,Block Group 1,G5030,S,164947,0,+40.4543357,-079.8888770,Homewood South,42,256.093,0.398,11,1304001,6038.28112709279,1771099.23205383
361,42,003,160800,2,420031608002,Block Group 2,G5030,S,234220,0,+40.4216124,-079.9656420,South Side Slopes,73,460.632,0.716,7,1608002,9254.19145008536,2375701.5012089
